Bm17073.1	WBGene00268217
Bm1604b.1	WBGene00221865
Bm1604a.1	WBGene00221865
Bm1604c.1	WBGene00221865
Bm9463.1	WBGene00229724
Bm9464.1	WBGene00229725
Bm95.1	WBGene00220356
Bm17074.1	WBGene00268218
Bm17075.1	WBGene00268219
Bm9466.1	WBGene00229727
Bm17076.1	WBGene00268220
Bm9469.1	WBGene00229730
Bm9470.1	WBGene00229731
Bm17077.1	WBGene00268221
Bm17078b.1	WBGene00268222
Bm17078a.1	WBGene00268222
Bm9890.1	WBGene00230151
Bm1321a.1	WBGene00221582
Bm1321b.1	WBGene00221582
Bm9889a.1	WBGene00230150
Bm9889b.1	WBGene00230150
Bm1910.1	WBGene00222171
Bm13157.1	WBGene00233418
Bm458.1	WBGene00220719
Bm1471.1	WBGene00221732
Bm8183.1	WBGene00228444
Bm5296.1	WBGene00225557
Bm10763.1	WBGene00231024
Bm16918.1	WBGene00255410
Bm17079.1	WBGene00268223
Bm5427.1	WBGene00225688
Bm3194.1	WBGene00223455
Bm3143a.1	WBGene00223404
Bm3143a.2	WBGene00223404
Bm3143a.3	WBGene00223404
Bm3143b.1	WBGene00223404
Bm3743.1	WBGene00224004
Bm16937.1	WBGene00255558
Bm4734.1	WBGene00224995
Bm3654.1	WBGene00223915
Bm18116.1	WBGene00269256
Bm4539.1	WBGene00224800
Bm13842c.1	WBGene00234103
Bm13842b.1	WBGene00234103
Bm10764.1	WBGene00231025
Bm13919.1	WBGene00234180
Bm13919.2	WBGene00234180
Bm13919.3	WBGene00234180
Bm5483a.1	WBGene00225744
Bm5483b.1	WBGene00225744
Bm5483c.1	WBGene00225744
Bm5483d.1	WBGene00225744
Bm7138.1	WBGene00227399
Bm14795a.1	WBGene00234980
Bm14795b.1	WBGene00234980
Bm10765.1	WBGene00231026
Bm17080.1	WBGene00268224
Bm17081.1	WBGene00268225
Bm12745.1	WBGene00233006
Bm8181.1	WBGene00228442
Bm11879.1	WBGene00232140
Bm3983.1	WBGene00224244
Bm7153.1	WBGene00227414
Bm4178.1	WBGene00224439
Bm10769.1	WBGene00231030
Bm12629.1	WBGene00232890
Bm6381.1	WBGene00226642
Bm10770.2	WBGene00231031
Bm10770.1	WBGene00231031
Bm4236.1	WBGene00224497
Bm2597.1	WBGene00222858
Bm10771.1	WBGene00231032
Bm7078.1	WBGene00227339
Bm6755a.1	WBGene00227016
Bm6755b.1	WBGene00227016
Bm7092.1	WBGene00227353
Bm12730.1	WBGene00232991
Bm12754.1	WBGene00233015
Bm10773.1	WBGene00231034
Bm4785.1	WBGene00225046
Bm4785.2	WBGene00225046
Bm4767.1	WBGene00225028
Bm4767.2	WBGene00225028
Bm10775.1	WBGene00231036
Bm1473.1	WBGene00221734
Bm8585a.1	WBGene00228846
Bm8585b.1	WBGene00228846
Bm208a.1	WBGene00220469
Bm208b.1	WBGene00220469
Bm1077a.1	WBGene00221338
Bm1077d.1	WBGene00221338
Bm1077b.1	WBGene00221338
Bm1077c.1	WBGene00221338
Bm2108c.1	WBGene00222369
Bm2108b.1	WBGene00222369
Bm2108a.1	WBGene00222369
Bm7865.1	WBGene00228126
Bm17082.1	WBGene00268226
Bm3193.1	WBGene00223454
Bm994.3	WBGene00221255
Bm994.2	WBGene00221255
Bm994.1	WBGene00221255
Bm10733.1	WBGene00230994
Bm10734.1	WBGene00230995
Bm17083a.1	WBGene00268227
Bm17083b.1	WBGene00268227
Bm17084.1	WBGene00268228
Bm17085.1	WBGene00268229
Bm17086.1	WBGene00268230
Bm17087.1	WBGene00268231
Bm1099.1	WBGene00221360
Bm17088.1	WBGene00268232
Bm17089.1	WBGene00268233
Bm2697.1	WBGene00222958
Bm2105.1	WBGene00222366
Bm17090.1	WBGene00268234
Bm8539.1	WBGene00228800
Bm8538.1	WBGene00228799
Bm8537.1	WBGene00228798
Bm1590.1	WBGene00221851
Bm13618.1	WBGene00233879
Bm17091.1	WBGene00268235
Bm2714a.1	WBGene00222975
Bm2714b.1	WBGene00222975
Bm5865.1	WBGene00226126
Bm17093.1	WBGene00268237
Bm6966.1	WBGene00227227
Bm18136.1	WBGene00269276
Bm7864.1	WBGene00228125
Bm4175.1	WBGene00224436
Bm4175.2	WBGene00224436
Bm6537a.1	WBGene00226798
Bm6537b.1	WBGene00226798
Bm12767.1	WBGene00233028
Bm7273.1	WBGene00227534
Bm3395.1	WBGene00223656
Bm3106.1	WBGene00223367
Bm17094a.1	WBGene00268238
Bm17094b.1	WBGene00268238
Bm8401.1	WBGene00228662
Bm17095.1	WBGene00268239
Bm981.1	WBGene00221242
Bm6821.1	WBGene00227082
Bm4964.1	WBGene00225225
Bm3082.1	WBGene00223343
Bm8261.1	WBGene00228522
Bm5245.1	WBGene00225506
Bm14018.1	WBGene00234279
Bm17096.1	WBGene00268240
Bm11659.1	WBGene00231920
Bm17097.1	WBGene00268241
Bm17098.1	WBGene00268242
Bm939.1	WBGene00221200
